"V1","V2","V3","V4"
"chr1",119960,125068,0.131435491144657
"chr1",16066,20349,0.371998706646264
"chr1",23321,26536,0.347610529139638
"chr1",86096,88913,0.750240601599216
"chr1",144886,147703,0.612164738215506
"chr1",20481,23270,0.504802362434566
"chr1",38880,41132,0.50021959617734
"chr1",106021,108258,0.656446712091565
"chr1",127747,127778,0.315690528415144
"chr1",36650,38854,0.610351255722344
"chr1",116027,118102,0.613060378096998
"chr1",66138,68023,0.635700579360127
"chr1",4801,6345,0.870730049535632
"chr1",112020,113528,0.720750637166202
"chr1",56973,58481,0.467088719084859
"chr1",1456,2958,0.577339946851134
"chr1",50343,51824,0.25357081387192
"chr1",71081,72525,0.152141446992755
"chr1",52473,53900,0.266383836232126
"chr1",31559,32980,0.796723576262593
"chr1",125446,126831,0.153299826942384
"chr1",77542,78712,0.402707197144628
"chr1",72727,73844,0.539189701527357
"chr1",90077,91154,0.295399523153901
"chr1",142645,143722,0.417630592174828
"chr1",135952,137013,0.754639423452318
"chr1",96786,97847,0.202265764772892
"chr1",58686,59651,0.796105145849287
"chr1",110675,111616,0.378001839481294
"chr1",48829,49483,0.706439754553139
"chr1",45409,46060,0.407656435295939
"chr1",44141,44761,0.199507997184992
"chr1",46681,47193,0.482042047008872
"chr1",137541,138014,0.736440823227167
"chr1",95785,96258,0.203721840493381
"chr1",76308,76706,0.137315373495221
"chr1",49939,50337,0.42747339066118
"chr1",76903,77289,0.867571803368628
"chr1",108570,108926,0.68348420727998
"chr1",36126,36428,0.110784555412829
"chr1",119387,119656,0.825124393589795
"chr1",75929,76171,0.701986324973404
"chr1",63971,64198,0.307505767978728
"chr1",70724,70948,0.423372906446457
"chr1",6976,7152,0.133816952817142
"chr1",70501,70632,0.578831966780126
"chr1",63346,63474,0.664011753164232
"chr1",60493,60618,0.876639250852168
"chr1",85486,85608,0.575354192405939
"chr1",148191,148313,0.800712994486094
"chr1",29119,29238,0.837133362330496
"chr1",75671,75784,0.665011980570853
"chr1",70229,70333,0.303099021688104
"chr1",28174,28278,0.362135987915099
"chr1",43606,43692,0.770958519726992
"chr1",27439,27520,0.59756832215935
"chr1",54022,54102,0.552275789156556
"chr1",110302,110380,0.633878690190613
"chr1",109957,110030,0.509229210950434
"chr1",82376,82449,0.393941550515592
"chr1",62907,62980,0.549521222151816
"chr1",46378,46450,0.564396817982197
"chr1",27664,27736,0.354511129111052
"chr1",105500,105571,0.442196341790259
"chr1",128228,128299,0.83237715959549
"chr1",30251,30321,0.596596455946565
"chr2",86178,88995,0.289035500772297
"chr2",144939,147756,0.328972970880568
"chr2",23966,26605,0.603653430566192
"chr2",38926,41178,0.815897388756275
"chr2",36696,38900,0.689335573278367
"chr2",116088,118163,0.735980361513794
"chr2",21315,23282,0.792168464325368
"chr2",66211,68113,0.185488873720169
"chr2",112095,113603,0.552387632802129
"chr2",57029,58537,0.264966241642833
"chr2",125510,127015,0.204007016122341
"chr2",71172,72665,0.850212317332625
"chr2",50380,51861,0.637531694769859
"chr2",52511,53938,0.11051640342921
"chr2",31533,32954,0.549221519380808
"chr2",77629,78796,0.642414618656039
"chr2",72815,73932,0.273295821994543
"chr2",90162,91239,0.425494741462171
"chr2",142695,143772,0.639352123439312
"chr2",136022,137083,0.621248384751379
"chr2",96851,97912,0.185219758935273
"chr2",124164,125204,0.793345009349287
"chr2",110768,111694,0.69657699521631
"chr2",48857,49510,0.169489711150527
"chr2",45456,46101,0.230709960870445
"chr2",44175,44765,0.843406009301543
"chr2",46709,47221,0.787210911512375
"chr2",76396,76794,0.632273091562092
"chr2",49976,50374,0.824637049995363
"chr2",107967,108329,0.13683082330972
"chr2",76990,77319,0.20771459620446
"chr2",119448,119753,0.849144346639514
"chr2",36171,36473,0.724807704612613
"chr2",108645,108917,0.788450971990824
"chr2",58743,59015,0.44548443891108
"chr2",2695,2955,0.831309224106371
"chr2",6098,6349,0.489220881275833
"chr2",20116,20349,0.385091952048242
"chr2",64030,64257,0.681070746853948
"chr2",70818,71039,0.326213277503848
"chr2",6977,7153,0.344632691517472
"chr2",137922,138062,0.696495380438864
"chr2",95872,96012,0.712990229949355
"chr2",70592,70729,0.803264383971691
"chr2",63403,63531,0.754460060782731
"chr2",60551,60676,0.548861862160265
"chr2",85568,85690,0.729535375162959
"chr2",148244,148366,0.624474238976836
"chr2",29120,29239,0.753794798441231
"chr2",75759,75872,0.201967327482998
"chr2",28188,28292,0.780946274287999
"chr2",70322,70423,0.218374413624406
"chr2",43640,43726,0.671305610984564
"chr2",27449,27530,0.813533693552017
"chr2",54060,54140,0.823713585361838
"chr2",110379,110458,0.110896281152964
"chr2",62964,63037,0.754389353469014
"chr2",110033,110106,0.681276847235858
"chr2",82460,82533,0.635881448537111
"chr2",46413,46485,0.564870336093009
"chr2",27676,27748,0.447068061679602
"chr2",9912,9983,0.492690398171544
"chr2",105565,105636,0.820675532706082
"chr2",128298,128369,0.380922033451498
"chr2",76191,76262,0.518104374036193
"chr2",30247,30317,0.723363818973303
"chr3",144686,147503,0.409876095689833
"chr3",92392,95209,0.838043812289834
"chr3",23937,26519,0.248297571949661
"chr3",38734,40986,0.248504535108805
"chr3",36504,38708,0.584231401234865
"chr3",119010,121051,0.260168624855578
"chr3",21231,23253,0.88166420198977
"chr3",65779,67639,0.823078672960401
"chr3",114987,116495,0.546238819696009
"chr3",56892,58391,0.724023262038827
"chr3",50283,51764,0.769483506865799
"chr3",70665,72115,0.595248441025615
"chr3",52427,53854,0.319739894382656
"chr3",31442,32863,0.195292122848332
"chr3",128419,129795,0.812905175425112
"chr3",148644,149745,0.492273977585137
"chr3",90150,91251,0.660771874524653
"chr3",138820,139881,0.842510904558003
"chr3",100014,101075,0.28530135396868
"chr3",113664,114590,0.418444561213255
"chr3",127084,128001,0.645290179550648
"chr3",48676,49388,0.513101544603705
"chr3",45287,45947,0.49040353577584
"chr3",46516,47028,0.591543966531754
"chr3",72968,73438,0.425161182694137
"chr3",76478,76912,0.290425632894039
"chr3",77088,77492,0.487408746033907
"chr3",75880,76281,0.288383748196065
"chr3",49879,50277,0.290316142514348
"chr3",111025,111387,0.39312374740839
"chr3",35960,36262,0.887186388671398
"chr3",58599,58877,0.703762712329626
"chr3",111693,111965,0.629375549778342
"chr3",122336,122605,0.853164025768638
"chr3",2639,2905,0.576322598382831
"chr3",6023,6274,0.38499356303364
"chr3",20002,20235,0.654832371324301
"chr3",63632,63859,0.16019427254796
"chr3",70309,70533,0.531743202358484
"chr3",44455,44658,0.465599584579468
"chr3",6900,7076,0.142226455546916
"chr3",140665,140826,0.47373503614217
"chr3",99069,99230,0.625622441060841
"chr3",70087,70224,0.302794516086578
"chr3",63016,63144,0.351775012910366
"chr3",60238,60363,0.824288890510798
"chr3",144082,144204,0.564823152497411
"chr3",95691,95813,0.564891562052071
"chr3",75260,75373,0.525331799313426
"chr3",69855,69959,0.402119367569685
"chr3",27832,27936,0.816983208432794
"chr3",29055,29144,0.448526769690216
"chr3",43506,43592,0.6272117767483
"chr3",27230,27311,0.258632996119559
"chr3",53983,54061,0.487480045109987
"chr3",113274,113352,0.604536907188594
"chr3",62587,62660,0.150774690136313
"chr3",112958,113031,0.565223567560315
"chr3",81883,81956,0.633449060842395
"chr3",46212,46284,0.30471808668226
"chr3",27328,27400,0.384958963654935
"chr3",9819,9890,0.38820978179574
"chr3",108621,108692,0.845391768962145
"chr3",131203,131274,0.895980400592089
"chr3",75674,75745,0.89927828758955
"chr3",30137,30207,0.720094308443368
